"시도별",2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"시도별",생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),생산량 (톤),배추:면적 (ha),생산량 (톤),노지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),일반봄배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),고랭지배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지가을배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),노지겨울배추:면적 (ha),10a당 생산량 (kg),생산량 (톤),시설배추:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"강원도",532366,11099,480889,10891,4276,465701,9608,3839,368899,2147,4081,87619,7461,3770,281280,1283,7545,96802,208,7302,15188,484818,10220,439152,10081,4310,434475,9260,4039,373976,1983,4206,83405,7277,3993,290571,821,7369,60499,139,3365,4677,377249,7775,326774,7696,4204,323564,6974,3912,272829,1329,4282,56908,5645,3825,215921,722,7027,50735,79,4063,3210,436274,8975,381994,8801,4259,374796,8019,4004,321049,1735,4770,82760,6284,3792,238289,782,6873,53747,174,4137,7198,457356,8943,395537,8842,4426,391363,8097,4102,332128,2133,4711,100486,5964,3884,231642,745,7951,59235,101,4133,4174,352825,7193,291222,7117,4050,288229,6484,3675,238304,1377,3068,42246,5107,3839,196058,633,7887,49925,76,3938,2993,424671,7786,354469,7710,4556,351260,6843,4068,278364,1415,4520,63958,5428,3950,214406,867,8408,72896,76,4222,3209,377159,6867,311142,6812,4532,308729,6098,4130,251876,908,4819,43757,5190,4010,208119,714,7963,56853,55,4387,2413,378646,7078,323000,6963,4564,317812,6146,3938,242041,969,4607,44642,5177,3813,197399,817,9274,75771,115,4511,5188,381741,6587,307893,6515,4680,304892,5597,3920,219412,784,4928,38636,4813,3756,180776,918,9312,85480,72,4168,3001,235932,5954,203569,5905,3412,201500,5105,2845,145216,658,4207,27682,4447,2643,117534,800,7035,56284,49,4222,2069,351112,6522,288109,6394,4420,282614,5244,3307,173421,1091,4590,50077,4153,2970,123344,1150,9495,109193,128,4293,5495,314659,6050,268032,6008,4433,266338,5017,3673,184281,223,4063,9060,4794,3655,175221,991,8280,82057,42,4034,1694,370010,6884,327334,6847,4759,325872,5661,3706,209770,562,4291,24115,5099,3641,185655,1186,9789,116102,37,3950,1462,358041,6223,293692,6201,4725,293022,5031,3579,180037,452,4121,18627,4579,3525,161410,1170,9657,112985,0,0,0,22,3045,670,314157,6004,262916,5980,4385,262248,5020,3231,162181,652,3912,25506,4368,3129,136675,960,10424,100067,0,0,0,24,2783,668,315073,5464,245872,5437,4506,245006,4540,3298,149751,600,4812,28872,3940,3068,120879,897,10619,95255,0,0,0,27,3208,866,443925,6845,392858,6755,5770,389775,5575,4935,275122,842,5616,47271,4733,4814,227851,1180,9713,114653,0,0,0,90,3428,3083,443540,6945,387699,6906,5598,386647,5632,4896,275768,646,4805,31063,4986,4908,244705,1274,8703,110879,0,0,0,38,2748,1052,439149,6491,367755,6475,5671,367215,5286,4788,253104,689,5002,34473,4597,4756,218631,1189,9600,114111,0,0,0,16,3368,540
"충청남도",399590,4310,356891,3629,9148,331980,810,4011,32489,810,4011,32489,0,0,0,2819,10624,299491,681,3658,24911,419592,4152,362686,3648,9291,338948,796,3241,25798,796,3241,25798,0,0,0,2852,10980,313150,504,4710,23738,306185,3123,275402,2730,9384,256188,521,3695,19251,521,3695,19251,0,0,0,2209,10726,236937,393,4889,19214,323130,3550,285566,2995,8575,256811,790,4560,36024,790,4560,36024,0,0,0,2205,10013,220787,555,5181,28755,378520,3869,336955,3326,9507,316218,785,4045,31753,785,4045,31753,0,0,0,2541,11195,284465,543,3819,20737,250152,2277,210912,1998,9903,197869,286,4452,12733,286,4452,12733,0,0,0,1712,10814,185136,279,4675,13043,329316,3427,289247,2894,9118,263871,592,4428,26214,592,4428,26214,0,0,0,2302,10324,237657,533,4761,25376,252399,2774,220254,2443,8356,204131,435,4348,18914,435,4348,18914,0,0,0,2008,9224,185217,331,4871,16123,313053,3241,283154,2581,9639,248788,438,4312,18887,438,4312,18887,0,0,0,2143,10728,229901,660,5207,34366,300480,2792,268614,2503,10134,253647,389,4282,16657,389,4282,16657,0,0,0,2114,11210,236990,289,5179,14967,239801,2736,214001,2421,8175,197911,363,4191,15213,363,4191,15213,0,0,0,2058,8877,182698,315,5108,16090,339570,3523,304093,2840,9443,268174,439,4151,18223,439,4151,18223,0,0,0,2401,10410,249951,683,5259,35919,249969,2306,204537,1959,9345,183068,192,5126,9842,192,5126,9842,0,0,0,1767,9803,173226,347,6187,21469,237888,2353,207400,1961,9370,183751,198,5001,9902,198,5001,9902,0,0,0,1763,9861,173849,392,6033,23649,266397,2395,231708,2020,10451,211109,152,4472,6797,152,4472,6797,0,0,0,1868,10937,204312,0,0,0,375,5493,20599,201800,1790,176014,1588,10479,166401,162,4475,7250,162,4475,7250,0,0,0,1426,11161,159151,0,0,0,202,4759,9613,173485,1893,147975,1522,8604,130954,295,3331,9826,295,3331,9826,0,0,0,1227,9872,121128,0,0,0,371,4588,17021,234776,2245,201031,1797,9925,178351,249,5337,13291,249,5337,13291,0,0,0,1548,10664,165060,0,0,0,448,5058,22680,189144,1740,158854,1391,10115,140712,197,6246,12283,197,6246,12283,0,0,0,1194,10752,128429,0,0,0,349,5200,18142,146611,1342,116590,1109,9453,104831,190,6492,12318,190,6492,12318,0,0,0,919,10064,92513,0,0,0,233,5054,11759
"전라남도",707508,9503,610659,8860,6536,579133,6320,5120,323584,6320,5120,323584,0,0,0,2540,10061,255549,643,4903,31526,797423,11037,673575,10517,6175,649395,8560,5254,449742,8560,5254,449742,0,0,0,1957,10202,199653,520,4650,24180,623470,8727,521095,8383,6018,504480,6807,5023,341916,6807,5023,341916,0,0,0,1576,10315,162564,344,4830,16615,817623,12009,723550,11433,6079,695061,9435,5109,482034,9435,5109,482034,0,0,0,1998,10662,213027,576,4946,28489,717971,9010,625936,8586,6978,599165,6784,5831,395575,6784,5831,395575,0,0,0,1802,11298,203590,424,6314,26771,774772,11236,700617,10914,6217,678505,9442,5367,506752,9442,5367,506752,0,0,0,1472,11668,171753,322,6867,22112,808277,10589,722462,10288,6816,701235,8218,5781,475083,8218,5781,475083,0,0,0,2070,10925,226152,301,7052,21227,679956,8564,582127,8312,6781,563643,6635,5938,393986,6635,5938,393986,0,0,0,1677,10117,169657,252,7335,18484,752361,9570,670044,9344,6978,651989,7160,5687,407189,7160,5687,407189,0,0,0,2184,11209,244800,226,7989,18055,703439,8233,637890,8072,7764,626707,5719,5712,326669,5719,5712,326669,0,0,0,2353,12751,300038,161,6946,11183,726964,9212,649825,8976,7074,634936,6424,5684,365140,6424,5684,365140,0,0,0,2552,10572,269796,236,6309,14889,925678,10168,814645,9807,8085,792877,6202,5236,324737,6202,5236,324737,0,0,0,3605,12986,468140,361,6030,21768,614821,7714,539540,7500,7002,525183,4563,4709,214872,4563,4709,214872,0,0,0,2937,10566,310311,214,6709,14357,663672,8067,591293,7803,7386,576314,4239,4728,200420,4239,4728,200420,0,0,0,3564,10547,375894,264,5674,14979,944554,9168,826654,8998,9076,816665,973,4932,47988,973,4932,47988,0,0,0,4003,12196,488223,4022,6973,280454,170,5876,9989,814149,7973,727958,7867,9175,721789,1136,4895,55607,1136,4895,55607,0,0,0,3349,12265,410740,3382,7553,255442,106,5820,6169,715292,6922,592044,6684,8621,576229,482,4622,22278,482,4622,22278,0,0,0,3021,10342,312418,3181,7593,241533,238,6645,15815,839543,8786,731866,8580,8380,718968,1499,4685,70222,1499,4685,70222,0,0,0,2936,10787,316704,4145,8011,332042,206,6263,12898,932531,9558,807579,9412,8523,802217,1485,4446,66022,1485,4446,66022,0,0,0,3244,11763,381523,4684,7572,354672,146,3680,5362,712371,7339,583811,7163,7997,572835,1190,6638,79004,1190,6638,79004,0,0,0,2666,10130,270034,3307,6767,223797,176,6239,10976
"경상남도",195781,2710,169619,2279,6804,155064,1183,3713,43919,707,3589,25374,476,3896,18545,1096,10141,111145,431,3377,14555,225041,2887,199653,2468,7041,173763,1253,3384,42397,553,3663,20256,700,3163,22141,1215,10812,131366,419,6179,25890,168483,2299,142673,2071,6275,129948,1165,3424,39892,499,2693,13438,666,3972,26454,906,9940,90056,228,5581,12725,176108,2409,152887,2169,6525,141528,1251,3972,49691,675,4025,27169,576,3910,22522,918,10004,91837,240,4733,11359,228907,2625,200555,2352,7839,184374,1184,4392,52005,668,4489,29987,516,4267,22018,1168,11333,132369,273,5927,16181,185556,1949,159515,1813,8333,151084,790,4406,34810,418,4516,18877,372,4283,15933,1023,11366,116274,136,6199,8431,226514,2457,191140,2232,7863,175502,985,4814,47417,552,5559,30686,433,3864,16731,1247,10271,128085,225,6950,15638,187317,1964,158543,1843,8170,150574,727,4484,32601,520,4760,24752,207,3792,7849,1116,10571,117973,121,6586,7969,179260,1756,151732,1645,8774,144337,579,4869,28190,332,5131,17035,247,4516,11155,1066,10896,116147,111,6662,7395,169763,1631,143855,1525,8922,136061,498,4545,22636,390,4395,17141,108,5088,5495,1027,11044,113425,106,7353,7794,161033,1717,132034,1587,7813,123993,505,5235,26437,366,5665,20734,139,4103,5703,1082,9016,97556,130,6185,8041,255676,2486,221037,2290,9162,209804,908,5503,49964,778,5786,45015,130,3807,4949,1382,11566,159840,196,5731,11233,152553,1392,117337,1307,8602,112429,468,4809,22505,376,4679,17593,92,5339,4912,839,10718,89924,85,5774,4908,163180,1491,131624,1405,9029,126852,411,5406,22219,337,6032,20328,74,2556,1891,994,10526,104633,86,5549,4772,155754,1231,123494,1162,10286,119521,378,5881,22232,351,6065,21288,27,3498,944,784,12409,97289,0,0,0,69,5758,3973,124470,821,89234,806,10965,88374,197,5702,11232,173,5755,9956,24,5317,1276,609,12667,77142,0,0,0,15,5733,860,98278,926,66650,908,7235,65692,330,4780,15775,265,4658,12344,65,5279,3431,578,8636,49917,0,0,0,18,5321,958,109210,1209,87947,1128,7489,84513,500,4762,23790,494,4757,23490,6,5200,300,629,9656,60723,0,0,0,80,4274,3434,95411,843,72565,794,8813,69960,248,5214,12939,248,5214,12939,0,0,0,546,10450,57021,0,0,0,49,5345,2605,82640,764,58397,738,7762,57246,271,4729,12799,271,4729,12799,0,0,0,467,9520,44447,0,0,0,27,4320,1151
